This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans               Serif              Sans Mono          
U+0000 Basic Latin                              100% (95/95)       100% (95/95)       100% (95/95)      
U+0080 Latin-1 Supplement                       100% (96/96)       100% (96/96)       100% (96/96)      
U+0100 Latin Extended-A                         100% (128/128)     100% (128/128)     100% (128/128)    
U+0180 Latin Extended-B                          12% (25/208)        7% (16/208)        7% (16/208)     
U+0250 IPA Extensions                                (0/96)             (0/96)             (0/96)       
U+02b0 Spacing Modifier Letters                  12% (10/80)        12% (10/80)        12% (10/80)      
U+0300 Combining Diacritical Marks                1% (2/112)         1% (2/112)         1% (2/112)      
U+0370 Greek and Coptic                           1% (2/144)         1% (2/144)         1% (2/144)      
U+0400 Cyrillic                                  37% (96/256)       37% (96/256)       37% (96/256)     
U+0500 Cyrillic Supplement                           (0/48)             (0/48)             (0/48)       
U+0530 Armenian                                      (0/96)             (0/96)             (0/96)       
U+0590 Hebrew                                        (0/112)            (0/112)            (0/112)      
U+0600 Arabic                                        (0/256)            (0/256)            (0/256)      
U+0700 Syriac                                        (0/80)             (0/80)             (0/80)       
U+0780 Thaana                                        (0/64)             (0/64)             (0/64)       
U+0900 Devanagari                                    (0/128)            (0/128)            (0/128)      
U+0980 Bengali                                       (0/128)            (0/128)            (0/128)      
U+0a00 Gurmukhi                                      (0/128)            (0/128)            (0/128)      
U+0a80 Gujarati                                      (0/128)            (0/128)            (0/128)      
U+0b00 Oriya                                         (0/128)            (0/128)            (0/128)      
U+0b80 Tamil                                         (0/128)            (0/128)            (0/128)      
U+0c00 Telugu                                        (0/128)            (0/128)            (0/128)      
U+0c80 Kannada                                       (0/128)            (0/128)            (0/128)      
U+0d00 Malayalam                                     (0/128)            (0/128)            (0/128)      
U+0d80 Sinhala                                       (0/128)            (0/128)            (0/128)      
U+0e00 Thai                                          (0/128)            (0/128)            (0/128)      
U+0e80 Lao                                           (0/128)            (0/128)            (0/128)      
U+0f00 Tibetan                                       (0/256)            (0/256)            (0/256)      
U+1000 Myanmar                                       (0/160)            (0/160)            (0/160)      
U+10a0 Georgian                                      (0/96)             (0/96)             (0/96)       
U+1100 Hangul Jamo                                   (0/256)            (0/256)            (0/256)      
U+1200 Ethiopic                                      (0/384)            (0/384)            (0/384)      
U+13a0 Cherokee                                      (0/96)             (0/96)             (0/96)       
U+1400 Unified Canadian Aboriginal Syllabics         (0/640)            (0/640)            (0/640)      
U+1680 Ogham                                         (0/32)             (0/32)             (0/32)       
U+16a0 Runic                                         (0/96)             (0/96)             (0/96)       
U+1700 Tagalog                                       (0/32)             (0/32)             (0/32)       
U+1720 Hanunoo                                       (0/32)             (0/32)             (0/32)       
U+1740 Buhid                                         (0/32)             (0/32)             (0/32)       
U+1760 Tagbanwa                                      (0/32)             (0/32)             (0/32)       
U+1780 Khmer                                         (0/128)            (0/128)            (0/128)      
U+1800 Mongolian                                     (0/176)            (0/176)            (0/176)      
U+1900 Limbu                                         (0/80)             (0/80)             (0/80)       
U+1950 Tai Le                                        (0/48)             (0/48)             (0/48)       
U+19e0 Khmer Symbols                                 (0/32)             (0/32)             (0/32)       
U+1d00 Phonetic Extensions                           (0/128)            (0/128)            (0/128)      
U+1e00 Latin Extended Additional                  3% (8/256)         3% (8/256)         3% (8/256)      
U+1f00 Greek Extended                                (0/256)            (0/256)            (0/256)      
U+2000 General Punctuation                       16% (19/112)       16% (19/112)       16% (19/112)     
U+2070 Superscripts and Subscripts                   (0/48)             (0/48)             (0/48)       
U+20a0 Currency Symbols                           2% (1/48)          2% (1/48)          2% (1/48)       
U+20d0 Combining Diacritical Marks for Symbols       (0/48)             (0/48)             (0/48)       
U+2100 Letterlike Symbols                         1% (1/80)          1% (1/80)          1% (1/80)       
U+2150 Number Forms                                  (0/64)             (0/64)             (0/64)       
U+2190 Arrows                                        (0/112)            (0/112)            (0/112)      
U+2200 Mathematical Operators                     5% (14/256)        5% (14/256)        5% (14/256)     
U+2300 Miscellaneous Technical                       (0/256)            (0/256)            (0/256)      
U+2400 Control Pictures                           1% (1/64)          1% (1/64)          1% (1/64)       
U+2440 Optical Character Recognition                 (0/32)             (0/32)             (0/32)       
U+2460 Enclosed Alphanumerics                        (0/160)            (0/160)            (0/160)      
U+2500 Box Drawing                                   (0/128)            (0/128)       100% (128/128)    
U+2580 Block Elements                                (0/32)             (0/32)             (0/32)       
U+25a0 Geometric Shapes                           1% (1/96)          1% (1/96)          1% (1/96)       
U+2600 Miscellaneous Symbols                         (0/256)            (0/256)            (0/256)      
U+2700 Dingbats                                      (0/192)            (0/192)            (0/192)      
U+27c0 Miscellaneous Mathematical Symbols-A          (0/48)             (0/48)             (0/48)       
U+27f0 Supplemental Arrows-A                         (0/16)             (0/16)             (0/16)       
U+2800 Braille Patterns                              (0/256)            (0/256)            (0/256)      
U+2900 Supplemental Arrows-B                         (0/128)            (0/128)            (0/128)      
U+2980 Miscellaneous Mathematical Symbols-B          (0/128)            (0/128)            (0/128)      
U+2a00 Supplemental Mathematical Operators           (0/256)            (0/256)            (0/256)      
U+2b00 Miscellaneous Symbols and Arrows              (0/256)            (0/256)            (0/256)      
U+2e80 CJK Radicals Supplement                       (0/128)            (0/128)            (0/128)      
U+2f00 Kangxi Radicals                               (0/224)            (0/224)            (0/224)      
U+2ff0 Ideographic Description Characters            (0/16)             (0/16)             (0/16)       
